 INFO  Accepting connections at http://localhost:8080
 HTTP  21/8/2026 4:59:10 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:59:10 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 4:59:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:59:10 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:59:10 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:59:10 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:59:10 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:59:10 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 4:59:10 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 4:59:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:59:10 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:59:26 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 4:59:26 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 4:59:32 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:59:32 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:59:38 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 4:59:38 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 4:59:56 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 4:59:56 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /carousel.js
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /intro.js
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /experiences.js
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:12 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:02:12 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /show-belly-dancers.html
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /show-belly-dancers
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:02:13 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:02:13 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:23 p. m. ::1 GET /index.html
 HTTP  21/8/2026 5:14:23 p. m. ::1 Returned 301 in 1 ms
 HTTP  21/8/2026 5:14:23 p. m. ::1 GET /index
 HTTP  21/8/2026 5:14:23 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 5:14:23 p. m. ::1 GET /
 HTTP  21/8/2026 5:14:23 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /show-belly-dancers
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 5:14:27 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 5:14:27 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 2 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /experiences.js
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /carousel.js
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /intro.js
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/imgl2677_1_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/imgl2348_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/imgl5742_1%20(1).webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_53_pm_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/imgl2909_1_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/imgl2700_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/img_0487_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_54_pm_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/imgl5428_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_54_pm_1_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/img_0488_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/imgl5533_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_53_pm_1_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_53_pm_4_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 5 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 4 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/imgl2689_1_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/img_0528_jpg_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 GET /assets/images/whatsapp_image_2026_08_04_at_4_43_52_pm_2_1.webp
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:29 p. m. ::1 Returned 304 in 3 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /show-gogo-dancers.html
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /show-gogo-dancers
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:14:31 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 5:14:31 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 5:14:35 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:14:35 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /show-gogo-dancers.html
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /show-gogo-dancers
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 3 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 5:14:39 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /show-zancos-robot.html
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /show-zancos-robot
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 2 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:14:41 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 0 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:41 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:47 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:47 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /show-belly-dancers
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /images/zancos-robot.jpg
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 0 ms
 HTTP  21/8/2026 5:14:50 p. m. ::1 GET /assets/simbolo-blanco.svg
 HTTP  21/8/2026 5:14:50 p. m. ::1 Returned 304 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /show-gogo-dancers.html
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 301 in 0 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /show-gogo-dancers
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /styles.css
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /i18n.js
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /sections.js
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /assets/Logo-negro.svg
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /assets/Logo-blanco.svg
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /images/belly-dance.jpg
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /images/fuego.jpg
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 Returned 200 in 1 ms
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /images/garotas.jpg
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /images/gogo.jpg
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /images/salsa.jpg
 HTTP  21/8/2026 5:14:54 p. m. ::1 GET /images/zancos-robot.jpg
